step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
207,585952,6624,0.014971406286138956,0.875,0.875,,,,,,,,,
208,588288,6656,0.022640278706504598,0.96875,0.96875,,,,,,,,,
209,591392,6688,0.01807739207093067,1.0,1.0,0.021068505883153676,0.90625,0.90625,,,,,,
210,594240,6720,0.019034220730717585,0.9375,0.9375,,,,,,,,,
211,596832,6752,0.021800357173172268,0.90625,0.90625,,,,,,,,,
212,599168,6784,0.021847207327433203,0.96875,0.96875,,,,,,,,,
213,601760,6816,0.024178967480771592,0.875,0.875,,,,,,,,,
214,603840,6848,0.02416833923959011,0.9375,0.9375,,,,,,,,,
215,606432,6880,0.01938200655383503,0.96875,0.96875,,,,,,,,,
216,608768,6912,0.023231038387257857,0.875,0.875,,,,,,,,,
217,611360,6944,0.019995160514951524,0.875,0.875,0.01623446391456705,1.0,1.0,,,,,,
218,613952,6976,0.019322425662879596,0.90625,0.90625,,,,,,,,,
219,616032,7008,0.023687803634909913,1.0,1.0,,,,,,,,,
220,618368,7040,0.021229018227737442,0.96875,0.96875,,,,,,,,,
221,621216,7072,0.019300982525816877,0.90625,0.90625,,,,,,,,,
222,623552,7104,0.022522627542618603,0.9375,0.9375,,,,,,,,,
223,627168,7136,0.01767969892882864,0.96875,0.96875,,,,,,,,,
224,629504,7168,0.02016454378014967,0.96875,0.96875,,,,,,,,,
225,632096,7200,0.019874461995989353,1.0,1.0,0.015909925928311853,0.96875,0.96875,,,,,,
226,634688,7232,0.024212059654117525,0.84375,0.84375,,,,,,,,,
227,637024,7264,0.02259314685268938,0.96875,0.96875,,,,,,,,,
228,639360,7296,0.024740559798639008,0.9375,0.9375,,,,,,,,,
229,642464,7328,0.017851879459354056,0.90625,0.90625,,,,,,,,,
230,645056,7360,0.02274504342023164,0.78125,0.78125,,,,,,,,,
