step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
209,6129216,13376,0.013228257204491353,0.671875,0.671875,0.01748969770124136,0.671875,0.671875,,,,,,
210,6156416,13440,0.017071956566718182,0.75,0.75,,,,,,,,,
211,6189248,13504,0.01321547220750722,0.65625,0.65625,,,,,,,,,
212,6215424,13568,0.0160899918708545,0.75,0.75,,,,,,,,,
213,6246720,13632,0.013980157591532087,0.703125,0.703125,,,,,,,,,
214,6272384,13696,0.015213473358877619,0.640625,0.640625,,,,,,,,,
215,6302144,13760,0.014978132331459438,0.765625,0.765625,,,,,,,,,
216,6327808,13824,0.017479272709102132,0.609375,0.609375,,,,,,,,,
217,6362688,13888,0.012154157019622665,0.65625,0.65625,0.01835930059046506,0.65625,0.65625,,,,,,
218,6390912,13952,0.01484533864111036,0.671875,0.671875,,,,,,,,,
219,6419648,14016,0.01611700318975074,0.734375,0.734375,,,,,,,,,
220,6451456,14080,0.013310900359556272,0.5625,0.5625,,,,,,,,,
221,6486848,14144,0.01294177682097668,0.6875,0.6875,,,,,,,,,
222,6514560,14208,0.01625216440309339,0.796875,0.796875,,,,,,,,,
223,6542784,14272,0.015942554232539853,0.671875,0.671875,,,,,,,,,
224,6567424,14336,0.016372126969723764,0.703125,0.703125,,,,,,,,,
225,6604352,14400,0.011775487210286312,0.640625,0.640625,0.013509180036166838,0.703125,0.703125,,,,,,
226,6636672,14464,0.014382538354935243,0.703125,0.703125,,,,,,,,,
227,6667968,14528,0.013905498950185734,0.65625,0.65625,,,,,,,,,
228,6702336,14592,0.012198394204143563,0.71875,0.71875,,,,,,,,,
229,6729024,14656,0.015645487796214552,0.65625,0.65625,,,,,,,,,
230,6757760,14720,0.014483704781901086,0.75,0.75,,,,,,,,,
231,6782400,14784,0.01785879213045084,0.71875,0.71875,,,,,,,,,
232,6811648,14848,0.014918110763221458,0.734375,0.734375,,,,,,,,,
233,6840384,14912,0.014431793134273575,0.6875,0.6875,0.017556513956546022,0.765625,0.765625,,,,,,
234,6865536,14976,0.016810909678803092,0.6875,0.6875,,,,,,,,,
235,6893248,15040,0.014865235461141232,0.703125,0.703125,,,,,,,,,
236,6920448,15104,0.01572692105166565,0.671875,0.671875,,,,,,,,,
237,6945600,15168,0.015453223976883193,0.671875,0.671875,,,,,,,,,
238,6978944,15232,0.011792381679952741,0.71875,0.71875,,,,,,,,,
239,7012800,15296,0.012967817797181964,0.734375,0.734375,,,,,,,,,
240,7041024,15360,0.014730501101080217,0.703125,0.703125,,,,,,,,,
241,7068736,15424,0.015813683831285837,0.734375,0.734375,0.01535653138635764,0.671875,0.671875,,,,,,
242,7098496,15488,0.013615776627840314,0.6875,0.6875,,,,,,,,,
243,7128768,15552,0.014059255123274914,0.640625,0.640625,,,,,,,,,
244,7160576,15616,0.01393467551731691,0.703125,0.703125,,,,,,,,,
245,7187264,15680,0.01727646287788817,0.765625,0.765625,,,,,,,,,
246,7214976,15744,0.01493901457227936,0.734375,0.734375,,,,,,,,,
247,7245760,15808,0.01375158376001312,0.765625,0.765625,,,,,,,,,
248,7278592,15872,0.012497885037982208,0.703125,0.703125,,,,,,,,,
249,7308864,15936,0.014392083385184924,0.6875,0.6875,0.01771482332006194,0.78125,0.78125,,,,,,
250,7339648,16000,0.014322715600362869,0.78125,0.78125,,,,,,,,,
251,7367360,16064,0.014242678616063422,0.765625,0.765625,,,,,,,,,
252,7404800,16128,0.011581097086725719,0.71875,0.71875,,,,,,,,,
253,7438656,16192,0.013172690909439372,0.6875,0.6875,,,,,,,,,
254,7469440,16256,0.014822332890673768,0.765625,0.765625,,,,,,,,,
255,7499200,16320,0.014595954030560293,0.6875,0.6875,,,,,,,,,
256,7528960,16384,0.014115692473533932,0.578125,0.578125,,,,,,,,,
257,7558208,16448,0.015230018836624148,0.609375,0.609375,0.014301952497360569,0.734375,0.734375,,,,,,
258,7584384,16512,0.0152945878430327,0.578125,0.578125,,,,,,,,,
259,7611584,16576,0.015171818513821624,0.71875,0.71875,,,,,,,,,
260,7640320,16640,0.014997700691804406,0.65625,0.65625,,,,,,,,,
261,7669056,16704,0.015291853086821499,0.6875,0.6875,,,,,,,,,
262,7701888,16768,0.01321278270843524,0.6875,0.6875,,,,,,,,,
263,7727552,16832,0.01686296827725956,0.671875,0.671875,,,,,,,,,
264,7751680,16896,0.018503815637717757,0.65625,0.65625,,,,,,,,,
265,7783488,16960,0.012469376870333485,0.703125,0.703125,0.016657968333572935,0.734375,0.734375,,,,,,
266,7812224,17024,0.014285967768860819,0.53125,0.53125,,,,,,,,,
267,7842496,17088,0.012744764759434316,0.796875,0.796875,,,,,,,,,
268,7870208,17152,0.015295631169293347,0.625,0.625,,,,,,,,,
269,7902016,17216,0.012504178227867039,0.65625,0.65625,,,,,,,,,
270,7931264,17280,0.015723667068112814,0.625,0.625,,,,,,,,,
271,7961536,17344,0.013278801928620987,0.78125,0.78125,,,,,,,,,
272,7997440,17408,0.01222936248673859,0.6875,0.6875,,,,,,,,,
273,8031296,17472,0.011743511628476443,0.75,0.75,0.01682474564412597,0.640625,0.640625,,,,,,
274,8056960,17536,0.017095380689476268,0.71875,0.71875,,,,,,,,,
275,8083136,17600,0.016629630701552864,0.625,0.625,,,,,,,,,
276,8111872,17664,0.014807080806610988,0.671875,0.671875,,,,,,,,,
